Seq. No.        2007 NAICS US Code      2007 NAICS US Title
671     331     Primary Metal Manufacturing
672     3311    Iron and Steel Mills and Ferroalloy Manufacturing
673     33111   Iron and Steel Mills and Ferroalloy Manufacturing
674     331111  Iron and Steel Mills
675     331112  Electrometallurgical Ferroalloy Product Manufacturing
676     3312    Steel Product Manufacturing from Purchased Steel
677     33121   Iron and Steel Pipe and Tube Manufacturing from Purchased Steel
678     331210  Iron and Steel Pipe and Tube Manufacturing from Purchased Steel
679     33122   Rolling and Drawing of Purchased Steel
680     331221  Rolled Steel Shape Manufacturing
681     331222  Steel Wire Drawing
682     3313    Alumina and Aluminum Production and Processing
683     33131   Alumina and Aluminum Production and Processing
684     331311  Alumina Refining
685     331312  Primary Aluminum Production
686     331314  Secondary Smelting and Alloying of Aluminum
687     331315  "Aluminum Sheet, Plate, and Foil Manufacturing"
688     331316  Aluminum Extruded Product Manufacturing
689     331319  Other Aluminum Rolling and Drawing
690     3314    Nonferrous Metal (except Aluminum) Production and Processing
691     33141   Nonferrous Metal (except Aluminum) Smelting and Refining
692     331411  Primary Smelting and Refining of Copper
693     331419  Primary Smelting and Refining of Nonferrous Metal (except Copper and Aluminum)
694     33142   "Copper Rolling, Drawing, Extruding, and Alloying"
695     331421  "Copper Rolling, Drawing, and Extruding"
696     331422  Copper Wire (except Mechanical) Drawing
697     331423  "Secondary Smelting, Refining, and Alloying of Copper"
698     33149   "Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, Extruding, and Alloying"
699     331491  "Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding"
700     331492  "Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)"
701     3315    Foundries
702     33151   Ferrous Metal Foundries
703     331511  Iron Foundries
704     331512  Steel Investment Foundries
705     331513  Steel Foundries (except Investment)
706     33152   Nonferrous Metal Foundries
707     331521  Aluminum Die-Casting Foundries
708     331522  Nonferrous (except Aluminum) Die-Casting Foundries
709     331524  Aluminum Foundries (except Die-Casting)
710     331525  Copper Foundries (except Die-Casting)
711     331528  Other Nonferrous Foundries (except Die-Casting)
712     332     Fabricated Metal Product Manufacturing
713     3321    Forging and Stamping
714     33211   Forging and Stamping
715     332111  Iron and Steel Forging
716     332112  Nonferrous Forging
717     332114  Custom Roll Forming
718     332115  Crown and Closure Manufacturing
719     332116  Metal Stamping
720     332117  Powder Metallurgy Part Manufacturing
721     3322    Cutlery and Handtool Manufacturing
722     33221   Cutlery and Handtool Manufacturing
723     332211  Cutlery and Flatware (except Precious) Manufacturing
724     332212  Hand and Edge Tool Manufacturing
725     332213  Saw Blade and Handsaw Manufacturing
726     332214  "Kitchen Utensil, Pot, and Pan Manufacturing"
727     3323    Architectural and Structural Metals Manufacturing
728     33231   Plate Work and Fabricated Structural Product Manufacturing
729     332311  Prefabricated Metal Building and Component Manufacturing
730     332312  Fabricated Structural Metal Manufacturing
731     332313  Plate Work Manufacturing
732     33232   Ornamental and Architectural Metal Products Manufacturing
733     332321  Metal Window and Door Manufacturing
734     332322  Sheet Metal Work Manufacturing
735     332323  Ornamental and Architectural Metal Work Manufacturing
736     3324    "Boiler, Tank, and Shipping Container Manufacturing"
737     33241   Power Boiler and Heat Exchanger Manufacturing
738     332410  Power Boiler and Heat Exchanger Manufacturing
739     33242   Metal Tank (Heavy Gauge) Manufacturing
740     332420  Metal Tank (Heavy Gauge) Manufacturing
741     33243   "Metal Can, Box, and Other Metal Container (Light Gauge) Manufacturing"
742     332431  Metal Can Manufacturing
743     332439  Other Metal Container Manufacturing
744     3325    Hardware Manufacturing
745     33251   Hardware Manufacturing
746     332510  Hardware Manufacturing
747     3326    Spring and Wire Product Manufacturing
748     33261   Spring and Wire Product Manufacturing
749     332611  Spring (Heavy Gauge) Manufacturing
750     332612  Spring (Light Gauge) Manufacturing
751     332618  Other Fabricated Wire Product Manufacturing
752     3327    "Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing"
753     33271   Machine Shops
754     332710  Machine Shops
755     33272   "Turned Product and Screw, Nut, and Bolt Manufacturing"
756     332721  Precision Turned Product Manufacturing
757     332722  "Bolt, Nut, Screw, Rivet, and Washer Manufacturing"
758     3328    "Coating, Engraving, Heat Treating, and Allied Activities"
759     33281   "Coating, Engraving, Heat Treating, and Allied Activities"
760     332811  Metal Heat Treating
761     332812  "Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers"
762     332813  "Electroplating, Plating, Polishing, Anodizing, and Coloring"
763     3329    Other Fabricated Metal Product Manufacturing
764     33291   Metal Valve Manufacturing
765     332911  Industrial Valve Manufacturing
766     332912  Fluid Power Valve and Hose Fitting Manufacturing
767     332913  Plumbing Fixture Fitting and Trim Manufacturing
768     332919  Other Metal Valve and Pipe Fitting Manufacturing
769     33299   All Other Fabricated Metal Product Manufacturing
770     332991  Ball and Roller Bearing Manufacturing
771     332992  Small Arms Ammunition Manufacturing
772     332993  Ammunition (except Small Arms) Manufacturing
773     332994  Small Arms Manufacturing
774     332995  Other Ordnance and Accessories Manufacturing
775     332996  Fabricated Pipe and Pipe Fitting Manufacturing
776     332997  Industrial Pattern Manufacturing
777     332998  Enameled Iron and Metal Sanitary Ware Manufacturing
778     332999  All Other Miscellaneous Fabricated Metal Product Manufacturing
779     333     Machinery Manufacturing
780     3331    "Agriculture, Construction, and Mining Machinery Manufacturing"
781     33311   Agricultural Implement Manufacturing
782     333111  Farm Machinery and Equipment Manufacturing
783     333112  Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufacturing
784     33312   Construction Machinery Manufacturing
785     333120  Construction Machinery Manufacturing
786     33313   Mining and Oil and Gas Field Machinery Manufacturing
787     333131  Mining Machinery and Equipment Manufacturing
788     333132  Oil and Gas Field Machinery and Equipment Manufacturing
789     3332    Industrial Machinery Manufacturing
790     33321   Sawmill and Woodworking Machinery Manufacturing
791     333210  Sawmill and Woodworking Machinery Manufacturing
792     33322   Plastics and Rubber Industry Machinery Manufacturing
793     333220  Plastics and Rubber Industry Machinery Manufacturing
794     33329   Other Industrial Machinery Manufacturing
795     333291  Paper Industry Machinery Manufacturing
796     333292  Textile Machinery Manufacturing
797     333293  Printing Machinery and Equipment Manufacturing
798     333294  Food Product Machinery Manufacturing
799     333295  Semiconductor Machinery Manufacturing
800     333298  All Other Industrial Machinery Manufacturing
801     3333    Commercial and Service Industry Machinery Manufacturing
802     33331   Commercial and Service Industry Machinery Manufacturing
803     333311  Automatic Vending Machine Manufacturing
804     333312  "Commercial Laundry, Drycleaning, and Pressing Machine Manufacturing"
805     333313  Office Machinery Manufacturing
806     333314  Optical Instrument and Lens Manufacturing
807     333315  Photographic and Photocopying Equipment Manufacturing
808     333319  Other Commercial and Service Industry Machinery Manufacturing
809     3334    "Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration Equipment Manufacturing"
810     33341   "Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration Equipment Manufacturing"
811     333411  Air Purification Equipment Manufacturing
812     333412  Industrial and Commercial Fan and Blower Manufacturing
813     333414  Heating Equipment (except Warm Air Furnaces) Manufacturing
814     333415  Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing
815     3335    Metalworking Machinery Manufacturing
816     33351   Metalworking Machinery Manufacturing
817     333511  Industrial Mold Manufacturing
818     333512  Machine Tool (Metal Cutting Types) Manufacturing
819     333513  Machine Tool (Metal Forming Types) Manufacturing
820     333514  "Special Die and Tool, Die Set, Jig, and Fixture Manufacturing"
821     333515  Cutting Tool and Machine Tool Accessory Manufacturing
822     333516  Rolling Mill Machinery and Equipment Manufacturing
823     333518  Other Metalworking Machinery Manufacturing
824     3336    "Engine, Turbine, and Power Transmission Equipment Manufacturing"
825     33361   "Engine, Turbine, and Power Transmission Equipment Manufacturing"
826     333611  Turbine and Turbine Generator Set Units Manufacturing
827     333612  "Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing"
828     333613  Mechanical Power Transmission Equipment Manufacturing
829     333618  Other Engine Equipment Manufacturing
830     3339    Other General Purpose Machinery Manufacturing
831     33391   Pump and Compressor Manufacturing
832     333911  Pump and Pumping Equipment Manufacturing
833     333912  Air and Gas Compressor Manufacturing
834     333913  Measuring and Dispensing Pump Manufacturing
835     33392   Material Handling Equipment Manufacturing
836     333921  Elevator and Moving Stairway Manufacturing
837     333922  Conveyor and Conveying Equipment Manufacturing
838     333923  "Overhead Traveling Crane, Hoist, and Monorail System Manufacturing"
839     333924  "Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing"
840     33399   All Other General Purpose Machinery Manufacturing
841     333991  Power-Driven Handtool Manufacturing
842     333992  Welding and Soldering Equipment Manufacturing
843     333993  Packaging Machinery Manufacturing
844     333994  Industrial Process Furnace and Oven Manufacturing
845     333995  Fluid Power Cylinder and Actuator Manufacturing
846     333996  Fluid Power Pump and Motor Manufacturing
847     333997  Scale and Balance Manufacturing
848     333999  All Other Miscellaneous General Purpose Machinery Manufacturing
849     334     Computer and Electronic Product Manufacturing
850     3341    Computer and Peripheral Equipment Manufacturing
851     33411   Computer and Peripheral Equipment Manufacturing
852     334111  Electronic Computer Manufacturing
853     334112  Computer Storage Device Manufacturing
854     334113  Computer Terminal Manufacturing
855     334119  Other Computer Peripheral Equipment Manufacturing
856     3342    Communications Equipment Manufacturing
857     33421   Telephone Apparatus Manufacturing
858     334210  Telephone Apparatus Manufacturing
859     33422   Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing
860     334220  Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing
861     33429   Other Communications Equipment Manufacturing
862     334290  Other Communications Equipment Manufacturing
863     3343    Audio and Video Equipment Manufacturing
864     33431   Audio and Video Equipment Manufacturing
865     334310  Audio and Video Equipment Manufacturing
866     3344    Semiconductor and Other Electronic Component Manufacturing
867     33441   Semiconductor and Other Electronic Component Manufacturing
868     334411  Electron Tube Manufacturing
869     334412  Bare Printed Circuit Board Manufacturing
870     334413  Semiconductor and Related Device Manufacturing
871     334414  Electronic Capacitor Manufacturing
872     334415  Electronic Resistor Manufacturing
873     334416  "Electronic Coil, Transformer, and Other Inductor Manufacturing"
874     334417  Electronic Connector Manufacturing
875     334418  Printed Circuit Assembly (Electronic Assembly) Manufacturing
876     334419  Other Electronic Component Manufacturing
877     3345    "Navigational, Measuring, Electromedical, and Control Instruments Manufacturing"
878     33451   "Navigational, Measuring, Electromedical, and Control Instruments Manufacturing"
879     334510  Electromedical and Electrotherapeutic Apparatus Manufacturing
880     334511  "Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing"
881     334512  "Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use"
882     334513  "Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables"
883     334514  Totalizing Fluid Meter and Counting Device Manufacturing
884     334515  Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals
885     334516  Analytical Laboratory Instrument Manufacturing
886     334517  Irradiation Apparatus Manufacturing
887     334518  "Watch, Clock, and Part Manufacturing"
888     334519  Other Measuring and Controlling Device Manufacturing
889     3346    Manufacturing and Reproducing Magnetic and Optical Media
890     33461   Manufacturing and Reproducing Magnetic and Optical Media
891     334611  Software Reproducing
892     334612  "Prerecorded Compact Disc (except Software), Tape, and Record Reproducing"
893     334613  Magnetic and Optical Recording Media Manufacturing
894     335     "Electrical Equipment, Appliance, and Component Manufacturing"
895     3351    Electric Lighting Equipment Manufacturing
896     33511   Electric Lamp Bulb and Part Manufacturing
897     335110  Electric Lamp Bulb and Part Manufacturing
898     33512   Lighting Fixture Manufacturing
899     335121  Residential Electric Lighting Fixture Manufacturing
900     335122  "Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing"
901     335129  Other Lighting Equipment Manufacturing
902     3352    Household Appliance Manufacturing
903     33521   Small Electrical Appliance Manufacturing
904     335211  Electric Housewares and Household Fan Manufacturing
905     335212  Household Vacuum Cleaner Manufacturing
906     33522   Major Appliance Manufacturing
907     335221  Household Cooking Appliance Manufacturing
908     335222  Household Refrigerator and Home Freezer Manufacturing
909     335224  Household Laundry Equipment Manufacturing
910     335228  Other Major Household Appliance Manufacturing
911     3353    Electrical Equipment Manufacturing
912     33531   Electrical Equipment Manufacturing
913     335311  "Power, Distribution, and Specialty Transformer Manufacturing"
914     335312  Motor and Generator Manufacturing
915     335313  Switchgear and Switchboard Apparatus Manufacturing
916     335314  Relay and Industrial Control Manufacturing
917     3359    Other Electrical Equipment and Component Manufacturing
918     33591   Battery Manufacturing
919     335911  Storage Battery Manufacturing
920     335912  Primary Battery Manufacturing
921     33592   Communication and Energy Wire and Cable Manufacturing
922     335921  Fiber Optic Cable Manufacturing
923     335929  Other Communication and Energy Wire Manufacturing
924     33593   Wiring Device Manufacturing
925     335931  Current-Carrying Wiring Device Manufacturing
926     335932  Noncurrent-Carrying Wiring Device Manufacturing
927     33599   All Other Electrical Equipment and Component Manufacturing
928     335991  Carbon and Graphite Product Manufacturing
929     335999  All Other Miscellaneous Electrical Equipment and Component Manufacturing
930     336     Transportation Equipment Manufacturing
931     3361    Motor Vehicle Manufacturing
932     33611   Automobile and Light Duty Motor Vehicle Manufacturing
933     336111  Automobile Manufacturing
934     336112  Light Truck and Utility Vehicle Manufacturing
935     33612   Heavy Duty Truck Manufacturing
936     336120  Heavy Duty Truck Manufacturing
937     3362    Motor Vehicle Body and Trailer Manufacturing
938     33621   Motor Vehicle Body and Trailer Manufacturing
939     336211  Motor Vehicle Body Manufacturing
940     336212  Truck Trailer Manufacturing
941     336213  Motor Home Manufacturing
942     336214  Travel Trailer and Camper Manufacturing
943     3363    Motor Vehicle Parts Manufacturing
944     33631   Motor Vehicle Gasoline Engine and Engine Parts Manufacturing
945     336311  "Carburetor, Piston, Piston Ring, and Valve Manufacturing"
946     336312  Gasoline Engine and Engine Parts Manufacturing
947     33632   Motor Vehicle Electrical and Electronic Equipment Manufacturing
948     336321  Vehicular Lighting Equipment Manufacturing
949     336322  Other Motor Vehicle Electrical and Electronic Equipment Manufacturing
950     33633   Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing
951     336330  Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing
952     33634   Motor Vehicle Brake System Manufacturing
953     336340  Motor Vehicle Brake System Manufacturing
954     33635   Motor Vehicle Transmission and Power Train Parts Manufacturing
955     336350  Motor Vehicle Transmission and Power Train Parts Manufacturing
956     33636   Motor Vehicle Seating and Interior Trim Manufacturing
957     336360  Motor Vehicle Seating and Interior Trim Manufacturing
958     33637   Motor Vehicle Metal Stamping
959     336370  Motor Vehicle Metal Stamping
960     33639   Other Motor Vehicle Parts Manufacturing
961     336391  Motor Vehicle Air-Conditioning Manufacturing
962     336399  All Other Motor Vehicle Parts Manufacturing
963     3364    Aerospace Product and Parts Manufacturing
964     33641   Aerospace Product and Parts Manufacturing
965     336411  Aircraft Manufacturing
966     336412  Aircraft Engine and Engine Parts Manufacturing
967     336413  Other Aircraft Parts and Auxiliary Equipment Manufacturing
968     336414  Guided Missile and Space Vehicle Manufacturing
969     336415  Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing
970     336419  Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing
971     3365    Railroad Rolling Stock Manufacturing
972     33651   Railroad Rolling Stock Manufacturing
973     336510  Railroad Rolling Stock Manufacturing
974     3366    Ship and Boat Building
975     33661   Ship and Boat Building
976     336611  Ship Building and Repairing
977     336612  Boat Building
978     3369    Other Transportation Equipment Manufacturing
979     33699   Other Transportation Equipment Manufacturing
980     336991  "Motorcycle, Bicycle, and Parts Manufacturing"
981     336992  "Military Armored Vehicle, Tank, and Tank Component Manufacturing"
982     336999  All Other Transportation Equipment Manufacturing
983     337     Furniture and Related Product Manufacturing
984     3371    Household and Institutional Furniture and Kitchen Cabinet Manufacturing
985     33711   Wood Kitchen Cabinet and Countertop Manufacturing
986     337110  Wood Kitchen Cabinet and Countertop Manufacturing
987     33712   Household and Institutional Furniture Manufacturing
988     337121  Upholstered Household Furniture Manufacturing
989     337122  Nonupholstered Wood Household Furniture Manufacturing
990     337124  Metal Household Furniture Manufacturing
991     337125  Household Furniture (except Wood and Metal) Manufacturing
992     337127  Institutional Furniture Manufacturing
993     337129  "Wood Television, Radio, and Sewing Machine Cabinet Manufacturing"
994     3372    Office Furniture (including Fixtures) Manufacturing
995     33721   Office Furniture (including Fixtures) Manufacturing
996     337211  Wood Office Furniture Manufacturing
997     337212  Custom Architectural Woodwork and Millwork Manufacturing
998     337214  Office Furniture (except Wood) Manufacturing
999     337215  "Showcase, Partition, Shelving, and Locker Manufacturing"
1000    3379    Other Furniture Related Product Manufacturing
1001    33791   Mattress Manufacturing
1002    337910  Mattress Manufacturing
1003    33792   Blind and Shade Manufacturing
1004    337920  Blind and Shade Manufacturing
1005    339     Miscellaneous Manufacturing
1006    3391    Medical Equipment and Supplies Manufacturing
1007    33911   Medical Equipment and Supplies Manufacturing
1008    339112  Surgical and Medical Instrument Manufacturing
1009    339113  Surgical Appliance and Supplies Manufacturing
1010    339114  Dental Equipment and Supplies Manufacturing
1011    339115  Ophthalmic Goods Manufacturing
1012    339116  Dental Laboratories
1013    3399    Other Miscellaneous Manufacturing
1014    33991   Jewelry and Silverware Manufacturing
1015    339911  Jewelry (except Costume) Manufacturing
1016    339912  Silverware and Hollowware Manufacturing
1017    339913  Jewelers' Material and Lapidary Work Manufacturing
1018    339914  Costume Jewelry and Novelty Manufacturing
1019    33992   Sporting and Athletic Goods Manufacturing
1020    339920  Sporting and Athletic Goods Manufacturing
1021    33993   "Doll, Toy, and Game Manufacturing"
1022    339931  Doll and Stuffed Toy Manufacturing
1023    339932  "Game, Toy, and Children's Vehicle Manufacturing"
1024    33994   Office Supplies (except Paper) Manufacturing
1025    339941  Pen and Mechanical Pencil Manufacturing
1026    339942  Lead Pencil and Art Good Manufacturing
1027    339943  Marking Device Manufacturing
1028    339944  Carbon Paper and Inked Ribbon Manufacturing
1029    33995   Sign Manufacturing
1030    339950  Sign Manufacturing
1031    33999   All Other Miscellaneous Manufacturing
1032    339991  "Gasket, Packing, and Sealing Device Manufacturing"
1033    339992  Musical Instrument Manufacturing
1034    339993  "Fastener, Button, Needle, and Pin Manufacturing"
1035    339994  "Broom, Brush, and Mop Manufacturing"
1036    339995  Burial Casket Manufacturing
1037    339999  All Other Miscellaneous Manufacturing
1038    42      Wholesale Trade
1039    423     "Merchant Wholesalers, Durable Goods"
1040    4231    Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers
1041    42311   Automobile and Other Motor Vehicle Merchant Wholesalers
1042    423110  Automobile and Other Motor Vehicle Merchant Wholesalers
1043    42312   Motor Vehicle Supplies and New Parts Merchant Wholesalers
1044    423120  Motor Vehicle Supplies and New Parts Merchant Wholesalers
1045    42313   Tire and Tube Merchant Wholesalers
1046    423130  Tire and Tube Merchant Wholesalers
1047    42314   Motor Vehicle Parts (Used) Merchant Wholesalers
1048    423140  Motor Vehicle Parts (Used) Merchant Wholesalers
1049    4232    Furniture and Home Furnishing Merchant Wholesalers
1050    42321   Furniture Merchant Wholesalers
1051    423210  Furniture Merchant Wholesalers
1052    42322   Home Furnishing Merchant Wholesalers
1053    423220  Home Furnishing Merchant Wholesalers
1054    4233    Lumber and Other Construction Materials Merchant Wholesalers
1055    42331   "Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers"
1056    423310  "Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers"
1057    42332   "Brick, Stone, and Related Construction Material Merchant Wholesalers"
1058    423320  "Brick, Stone, and Related Construction Material Merchant Wholesalers"
1059    42333   "Roofing, Siding, and Insulation Material Merchant Wholesalers"
1060    423330  "Roofing, Siding, and Insulation Material Merchant Wholesalers"
1061    42339   Other Construction Material Merchant Wholesalers
1062    423390  Other Construction Material Merchant Wholesalers
1063    4234    Professional and Commercial Equipment and Supplies Merchant Wholesalers
1064    42341   Photographic Equipment and Supplies Merchant Wholesalers
1065    423410  Photographic Equipment and Supplies Merchant Wholesalers
1066    42342   Office Equipment Merchant Wholesalers
1067    423420  Office Equipment Merchant Wholesalers
1068    42343   Computer and Computer Peripheral Equipment and Software Merchant Wholesalers
1069    423430  Computer and Computer Peripheral Equipment and Software Merchant Wholesalers
1070    42344   Other Commercial Equipment Merchant Wholesalers
1071    423440  Other Commercial Equipment Merchant Wholesalers
1072    42345   "Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers"
1073    423450  "Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers"
1074    42346   Ophthalmic Goods Merchant Wholesalers
1075    423460  Ophthalmic Goods Merchant Wholesalers
1076    42349   Other Professional Equipment and Supplies Merchant Wholesalers
1077    423490  Other Professional Equipment and Supplies Merchant Wholesalers
1078    4235    Metal and Mineral (except Petroleum) Merchant Wholesalers
1079    42351   Metal Service Centers and Other Metal Merchant Wholesalers
1080    423510  Metal Service Centers and Other Metal Merchant Wholesalers
1081    42352   Coal and Other Mineral and Ore Merchant Wholesalers
1082    423520  Coal and Other Mineral and Ore Merchant Wholesalers
1083    4236    Electrical and Electronic Goods Merchant Wholesalers
1084    42361   "Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers"
1085    423610  "Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers"
1086    42362   "Electrical and Electronic Appliance, Television, and Radio Set Merchant Wholesalers"
1087    423620  "Electrical and Electronic Appliance, Television, and Radio Set Merchant Wholesalers"
1088    42369   Other Electronic Parts and Equipment Merchant Wholesalers
1089    423690  Other Electronic Parts and Equipment Merchant Wholesalers
1090    4237    "Hardware, and Plumbing and Heating Equipment and Supplies Merchant Wholesalers"
1091    42371   Hardware Merchant Wholesalers
1092    423710  Hardware Merchant Wholesalers
1093    42372   Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers
1094    423720  Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers
1095    42373   Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers
1096    423730  Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers
1097    42374   Refrigeration Equipment and Supplies Merchant Wholesalers
1098    423740  Refrigeration Equipment and Supplies Merchant Wholesalers
1099    4238    "Machinery, Equipment, and Supplies Merchant Wholesalers"
1100    42381   Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers
1101    423810  Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers
1102    42382   Farm and Garden Machinery and Equipment Merchant Wholesalers
1103    423820  Farm and Garden Machinery and Equipment Merchant Wholesalers
1104    42383   Industrial Machinery and Equipment Merchant Wholesalers
1105    423830  Industrial Machinery and Equipment Merchant Wholesalers
1106    42384   Industrial Supplies Merchant Wholesalers
1107    423840  Industrial Supplies Merchant Wholesalers
1108    42385   Service Establishment Equipment and Supplies Merchant Wholesalers
1109    423850  Service Establishment Equipment and Supplies Merchant Wholesalers
1110    42386   Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers
1111    423860  Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers
1112    4239    Miscellaneous Durable Goods Merchant Wholesalers
1113    42391   Sporting and Recreational Goods and Supplies Merchant Wholesalers
1114    423910  Sporting and Recreational Goods and Supplies Merchant Wholesalers
1115    42392   Toy and Hobby Goods and Supplies Merchant Wholesalers
1116    423920  Toy and Hobby Goods and Supplies Merchant Wholesalers
1117    42393   Recyclable Material Merchant Wholesalers
1118    423930  Recyclable Material Merchant Wholesalers
1119    42394   "Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesalers"
1120    423940  "Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesalers"
1121    42399   Other Miscellaneous Durable Goods Merchant Wholesalers
1122    423990  Other Miscellaneous Durable Goods Merchant Wholesalers
1123    424     "Merchant Wholesalers, Nondurable Goods"
1124    4241    Paper and Paper Product Merchant Wholesalers
1125    42411   Printing and Writing Paper Merchant Wholesalers
1126    424110  Printing and Writing Paper Merchant Wholesalers
1127    42412   Stationery and Office Supplies Merchant Wholesalers
1128    424120  Stationery and Office Supplies Merchant Wholesalers
1129    42413   Industrial and Personal Service Paper Merchant Wholesalers
1130    424130  Industrial and Personal Service Paper Merchant Wholesalers
1131    4242    Drugs and Druggists' Sundries Merchant Wholesalers
1132    42421   Drugs and Druggists' Sundries Merchant Wholesalers
1133    424210  Drugs and Druggists' Sundries Merchant Wholesalers
1134    4243    "Apparel, Piece Goods, and Notions Merchant Wholesalers"
1135    42431   "Piece Goods, Notions, and Other Dry Goods Merchant Wholesalers"
1136    424310  "Piece Goods, Notions, and Other Dry Goods Merchant Wholesalers"
1137    42432   Men's and Boys' Clothing and Furnishings Merchant Wholesalers
1138    424320  Men's and Boys' Clothing and Furnishings Merchant Wholesalers
1139    42433   "Women's, Children's, and Infants' Clothing and Accessories Merchant Wholesalers"
1140    424330  "Women's, Children's, and Infants' Clothing and Accessories Merchant Wholesalers"
1141    42434   Footwear Merchant Wholesalers
1142    424340  Footwear Merchant Wholesalers
1143    4244    Grocery and Related Product Merchant Wholesalers
1144    42441   General Line Grocery Merchant Wholesalers
1145    424410  General Line Grocery Merchant Wholesalers
1146    42442   Packaged Frozen Food Merchant Wholesalers
1147    424420  Packaged Frozen Food Merchant Wholesalers
1148    42443   Dairy Product (except Dried or Canned) Merchant Wholesalers
1149    424430  Dairy Product (except Dried or Canned) Merchant Wholesalers
1150    42444   Poultry and Poultry Product Merchant Wholesalers
1151    424440  Poultry and Poultry Product Merchant Wholesalers
1152    42445   Confectionery Merchant Wholesalers
1153    424450  Confectionery Merchant Wholesalers
1154    42446   Fish and Seafood Merchant Wholesalers
1155    424460  Fish and Seafood Merchant Wholesalers
1156    42447   Meat and Meat Product Merchant Wholesalers
1157    424470  Meat and Meat Product Merchant Wholesalers
1158    42448   Fresh Fruit and Vegetable Merchant Wholesalers
1159    424480  Fresh Fruit and Vegetable Merchant Wholesalers
1160    42449   Other Grocery and Related Products Merchant Wholesalers
1161    424490  Other Grocery and Related Products Merchant Wholesalers
1162    4245    Farm Product Raw Material Merchant Wholesalers
1163    42451   Grain and Field Bean Merchant Wholesalers
1164    424510  Grain and Field Bean Merchant Wholesalers
1165    42452   Livestock Merchant Wholesalers
1166    424520  Livestock Merchant Wholesalers
1167    42459   Other Farm Product Raw Material Merchant Wholesalers
1168    424590  Other Farm Product Raw Material Merchant Wholesalers
1169    4246    Chemical and Allied Products Merchant Wholesalers
1170    42461   Plastics Materials and Basic Forms and Shapes Merchant Wholesalers
1171    424610  Plastics Materials and Basic Forms and Shapes Merchant Wholesalers
1172    42469   Other Chemical and Allied Products Merchant Wholesalers
1173    424690  Other Chemical and Allied Products Merchant Wholesalers
1174    4247    Petroleum and Petroleum Products Merchant Wholesalers
1175    42471   Petroleum Bulk Stations and Terminals
1176    424710  Petroleum Bulk Stations and Terminals
1177    42472   Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals)
1178    424720  Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals)
1179    4248    "Beer, Wine, and Distilled Alcoholic Beverage Merchant Wholesalers"
1180    42481   Beer and Ale Merchant Wholesalers
1181    424810  Beer and Ale Merchant Wholesalers
1182    42482   Wine and Distilled Alcoholic Beverage Merchant Wholesalers
1183    424820  Wine and Distilled Alcoholic Beverage Merchant Wholesalers
1184    4249    Miscellaneous Nondurable Goods Merchant Wholesalers
1185    42491   Farm Supplies Merchant Wholesalers
1186    424910  Farm Supplies Merchant Wholesalers
1187    42492   "Book, Periodical, and Newspaper Merchant Wholesalers"
