SITC Revision 2 Product Code,SITC Revision 2 Product Description,ISIC Revision 2 Product Code,ISIC Revision 2 Product Description
8743,"Instr.non electrical,for measuring,checking flow",3851,"Manufacture of professional and scientific, and measuring and controlling equipment not elsewhere cl"
8744,Instr.& app.for physical or chemical analysis,3851,"Manufacture of professional and scientific, and measuring and controlling equipment not elsewhere cl"
8749,"Parts,n.e.s.accessories for 873--,8743-,87454,8748",3851,"Manufacture of professional and scientific, and measuring and controlling equipment not elsewhere cl"
8821,Chemical products & flashlight materials,3529,Manufacture of chemical products not elsewhere classified
8830,"Cinematograph film,exposed-developed,neg.or pos.",9999,Goods not elsewhere classified
8922,"Newspapers journals,periodicals",3420,"Printing, publishing and allied industries"
8931,Art.for the conveyance or packing of goods,3560,Manufacture of plastic products not elsewhere classified
8932,Sanitary or toilet art.of materials of div.58,3560,Manufacture of plastic products not elsewhere classified
8933,Ornamental art.and objects of mat.of div.58,3560,Manufacture of plastic products not elsewhere classified
8935,Art.of electric lighting of materials of div.58,3560,Manufacture of plastic products not elsewhere classified
8941,"Baby carriages,and parts",3849,Manufacture of transport equipment not elsewhere classified
8972,Imitation jewellery,3909,Manufacturing industries not elsewhere classified
8974,Other articles of precious metal,3901,Manufacture of jewellery and related articles
8989,Parts of and accessories for musical instruments,3902,Manufacture of musical instruments
9410,"Animals,live,n.e.s.,incl. zoo-animals",1130,"Hunting, trapping and game propagation"
9610,Coin(other than gold) not being legal tender,3901,Manufacture of jewellery and related articles
00111,"Bovine species pure bred,for breeding",1110,Agricultural and livestock production
00119,Bovine species other than pure bred breeding stock,1110,Agricultural and livestock production
00121,"Sheep, live",1110,Agricultural and livestock production
00122,"Goats, live",1110,Agricultural and livestock production
00141,"Poultry,live of a weight not exceeding 185 grammes",1110,Agricultural and livestock production
00149,"Poultry,live of a weight exceeding 185 grammes",1110,Agricultural and livestock production
01111,Meat of bovine animals with bone in,3111,"Slaughtering, preparing and preserving meat"
01112,Meat of bovine animals boneless,3111,"Slaughtering, preparing and preserving meat"
01181,"Poultry liver,fresh,chilled,frozen,salted/in brine",3111,"Slaughtering, preparing and preserving meat"
01189,"Meat & edible offals,fresh,chilled or frozen",3111,"Slaughtering, preparing and preserving meat"
02241,Whey,3112,Manufacture of dairy products
02242,Milk in powder/granul.(weight not more 1.5% of fat,3112,Manufacture of dairy products
02243,Milk & cream powder (weight more than 1.5% of fat),3112,Manufacture of dairy products
02249,"Milk & cream,preserved,concentrated or sweetened",3112,Manufacture of dairy products
03501,Fish meal fit for human consumption,1301,Ocean and coastal fishing
03502,"Cod(not in fillets),dried,whether or not salted",1301,Ocean and coastal fishing
03503,"Fish,dried,salted or in brine (other than cod)",1301,Ocean and coastal fishing
03504,"Fish,smoked (whether or not cooked)",1301,Ocean and coastal fishing
04211,Rice in the husk (paddy or rough rice),1110,Agricultural and livestock production
04212,"Rice,husked but not further prepared (cargo rice)",1110,Agricultural and livestock production
04221,"Rice,semi/wholly milled,excl.broken rice",3116,Grain mill products
04222,Broken rice,3116,Grain mill products
04591,"Millet,unmilled",1110,Agricultural and livestock production
04592,"Sorghum,unmilled",1110,Agricultural and livestock production
04599,"Other cereals,unmilled,n.e.s.",1110,Agricultural and livestock production
04601,Flour of wheat or of meslin,3116,Grain mill products
04602,"Groats,meal and pellets,of wheat",3116,Grain mill products
04701,Cereal flours (other than of wheat or of meslin),3116,Grain mill products
04702,"Cereal groats,meal and pellets(other than of wheat",3116,Grain mill products
04811,Other worked cereal grains;germ of cereals,3116,Grain mill products
04812,Prepared foods obtain. by the swelling or roasting,3116,Grain mill products
04841,"Bread,ships,biscuits & other ordinary bakers wares",3117,Manufacture of bakery products
04842,"Pastry,biscuits,cakes and other fine bakers wares",3117,Manufacture of bakery products
05451,"Onions,shallots,garlic,leeks & alliaceous veget.",1110,Agricultural and livestock production
05459,"Vegetables,fresh or chilled,n.e.s.",1110,Agricultural and livestock production
05461,"Vegetables, preserved by freezing,cooked or not",3113,Canning and preserving of fruits and vegetables
05462,Vegetables provisionally preserved in brine etc.,3113,Canning and preserving of fruits and vegetables
05481,"Manioc,arrowroot,salep,jerusalem artichokes etc.",1110,Agricultural and livestock production
05482,"Sugar beet,whole or sliced,fresh,dried or powdered",1110,Agricultural and livestock production
05484,Hop cones and lupulin,1110,Agricultural and livestock production
05488,Vegetable products of a kind used for human food,1110,Agricultural and livestock production
05643,"Flour,meal and flakes of potato",3116,Grain mill products
05645,Tapioca & sago & substitutes obtained from potato,3121,Manufacture of food products not elsewhere classified
05649,Flours of the leguminous vegetables and fruits,3116,Grain mill products
05651,"Vegetables & fruit,prepared/preserved by vinegar",3113,Canning and preserving of fruits and vegetables
05659,Veget.prepared/preserved otherwise than by vinegar,3113,Canning and preserving of fruits and vegetables
05711,"Oranges,fresh or dried",1110,Agricultural and livestock production
05712,"Mandarins,clementines & citrus hybrids fresh/dried",1110,Agricultural and livestock production
05721,"Lemons and limes,fresh or dried",1110,Agricultural and livestock production
05722,"Grapefruit,fresh or dried",1110,Agricultural and livestock production
05729,"Citrus fruit,n.e.s.,fresh or dried",1110,Agricultural and livestock production
05751,"Grapes,fresh",1110,Agricultural and livestock production
05752,"Grapes,dried (raisins)",1110,Agricultural and livestock production
05771,"Coconuts,fresh or dried,shelled or not",1110,Agricultural and livestock production
05772,"Brazil nuts,fresh or dried,shelled or not",1110,Agricultural and livestock production
05773,"Cashew nuts,fresh or dried,shelled or not",1110,Agricultural and livestock production
05774,"Almonds.fresh or dried,shelled or not",1110,Agricultural and livestock production
05775,"Hazelnuts,fresh or dried,shelled or not",1110,Agricultural and livestock production
05779,"Edible nuts,fresh or dried,n.e.s. shelled or not",1110,Agricultural and livestock production
05792,"Pears and quinces,fresh",1110,Agricultural and livestock production
05793,"Stone fruit,n.e.s.,fresh",1110,Agricultural and livestock production
05794,"Berries,fresh",1110,Agricultural and livestock production
05795,"Pineapples,fresh or dried",1110,Agricultural and livestock production
05796,"Dates,fresh or dried",1110,Agricultural and livestock production
05797,"Avocados,mangoes,guavas,fresh or dried",1110,Agricultural and livestock production
05798,Other fresh fruit,1110,Agricultural and livestock production
05799,Other dried fruit,1110,Agricultural and livestock production
05851,Orange juice,3113,Canning and preserving of fruits and vegetables
05852,Grapefruit juice,3113,Canning and preserving of fruits and vegetables
05853,Juice of any other citrus fruit,3113,Canning and preserving of fruits and vegetables
05854,Pineapple juice,3113,Canning and preserving of fruits and vegetables
05855,Tomato juice,3113,Canning and preserving of fruits and vegetables
05857,Juice of any other fruit or vegetable,3113,Canning and preserving of fruits and vegetables
05858,Mixtures of fruit or vegetable juices,3113,Canning and preserving of fruits and vegetables
05861,"Fruit,preserved by freezing,no sugar added",3113,Canning and preserving of fruits and vegetables
05863,Fruit provisionally preserved,3113,Canning and preserving of fruits and vegetables
05864,"Peel of melons or citrus fruit,fresh,frozen,dried",3113,Canning and preserving of fruits and vegetables
05891,"Nuts,roasted (including roasted groundnuts)",3113,Canning and preserving of fruits and vegetables
05899,"Fruit and nuts,prepared or preserved,n.e.s.",3113,Canning and preserving of fruits and vegetables
07111,"Coffee,not roasted;coffee husks and skins",1110,Agricultural and livestock production
07112,"Coffee,roasted",3121,Manufacture of food products not elsewhere classified
07113,Coffee substitutes contain. coffee in any proport.,3121,Manufacture of food products not elsewhere classified
07231,Cocoa paste whether or not defatted,3119,"Manufacture of cocoa, chocolate and sugar confectionery"
07232,Cocoa butter (fat or oil),3119,"Manufacture of cocoa, chocolate and sugar confectionery"
07521,Vanilla,1110,Agricultural and livestock production
07522,Cinnamon and cinnamon-tree flowers,1110,Agricultural and livestock production
07523,"Cloves (whole fruit,cloves and stems)",1110,Agricultural and livestock production
07524,"Nutmeg,mace and cardamoms",1110,Agricultural and livestock production
07525,"Seeds of anise,badian,fennel,coriander,cumin etc.",1110,Agricultural and livestock production
07526,Ginger (excl.ginger preserved in sugar/syrup),1110,Agricultural and livestock production
07528,"Thyme,saffron,bay leaves;other spices",1110,Agricultural and livestock production
08111,"Cereal straw and husks,unprepared,or chopped",1110,Agricultural and livestock production
08112,"Mangolds,swedes,fodder roots;hay,lucerne,clover",1110,Agricultural and livestock production
08119,Products of veg.origin of a kind used for ani.food,1110,Agricultural and livestock production
08121,"Bran,sharps & other residues of maize or rice",3116,Grain mill products
08122,"Bran,sharps & other residues of other cereals",3116,Grain mill products
08123,"Bran,sharps & other residues of leguminous veget.",3116,Grain mill products
08131,Oil-cake of soya beans,3115,Manufacture of vegetable and animal oils and fats
08132,Oil-cake of groundnuts,3115,Manufacture of vegetable and animal oils and fats
08133,Oil-cake of cotton seeds,3115,Manufacture of vegetable and animal oils and fats
08134,Oil-cake of linseed,3115,Manufacture of vegetable and animal oils and fats
08135,Oil-cake of sunflower seeds,3115,Manufacture of vegetable and animal oils and fats
08136,Oil-cake of rape or colza seeds,3115,Manufacture of vegetable and animal oils and fats
08137,Oil-cake of coconut (copra),3115,Manufacture of vegetable and animal oils and fats
08138,Oil-cake of palm nuts and kernels,3115,Manufacture of vegetable and animal oils and fats
08139,Oil-cake of other oil seeds and oleaginous fruits,3115,Manufacture of vegetable and animal oils and fats
08141,"Flours & meals of meat/offals,unfit for human food",3111,"Slaughtering, preparing and preserving meat"
08142,"Flours & meals of fish,unfit for human consumption",3114,"Canning, preserving and processing of fish, crustacea and similar foods"
08192,"Cocoa shells,husks,skins and waste",3119,"Manufacture of cocoa, chocolate and sugar confectionery"
08193,Beet-pulp.bagasse & other waste of sugar manufact.,3118,Sugar factories and refineries
08194,Wine lees;argol,3132,Wine industries
08199,Sweetened forage; other preptns.for animal feeding,3122,Manufacture of prepared animal feeds
09141,Margarine,3115,Manufacture of vegetable and animal oils and fats
09149,Imitation lard & other prepated edible fats n.e.s.,3115,Manufacture of vegetable and animal oils and fats
09801,Homogenized composite food preparations,3121,Manufacture of food products not elsewhere classified
09802,"Extracts,essences or concentrates of tea or mate",3121,Manufacture of food products not elsewhere classified
09803,Mustard flour and prepared mustard,3121,Manufacture of food products not elsewhere classified
09804,Sauces;mixed condiments and mixed seasonings,3121,Manufacture of food products not elsewhere classified
09805,"Soups and broths,in liquid,solid or powder form",3121,Manufacture of food products not elsewhere classified
09806,Natural yeasts; prepared baking powders,3121,Manufacture of food products not elsewhere classified
09807,Vinegar and substitutes for vinegar,3121,Manufacture of food products not elsewhere classified
09808,"Edible products of animal origine,n.e.s.",1110,Agricultural and livestock production
09809,"Food preparations,n.e.s.",3121,Manufacture of food products not elsewhere classified
11101,Waters (includ.spa & aerated waters);ice and snow,3134,Sort drings and carbonated waters industries
11102,"Lemonade,flavoured spa waters & flavoured waters .",3134,Sort drings and carbonated waters industries
11211,Grape must in fermentation/with ferment.arrested,3131,"Distilling, rectifying and blending spirits"
11212,Wine of fresh grapes;grape must,3132,Wine industries
11213,Vermouths & other wines of fresh grapes flavoured,3132,Wine industries
11241,Whisky,3134,Sort drings and carbonated waters industries
11242,Spirits obtained by distilling wine or grape marc,3134,Sort drings and carbonated waters industries
11249,"Spirits and distilled alcoholic beverages,n.e.s.",3134,Sort drings and carbonated waters industries
12111,"Tobacco flue-cured,of the virginia type",1110,Agricultural and livestock production
12121,"Tobacco flue-cured,of the virginia type",1110,Agricultural and livestock production
21191,Parings & other waste of leather,3220,"Manufacture of wearing apparel, except footwear"
21199,"Hides and skins,n.e.s.raw (fresh,salted,dried etc)",1130,"Hunting, trapping and game propagation"
21201,"Mink skins,raw",1110,Agricultural and livestock production
21209,"Other furskins,raw",1130,"Hunting, trapping and game propagation"
23201,"Nat.rubber latex,whether/not with add.synth.rubber",1110,Agricultural and livestock production
23202,Natural rubber (other than latex),1110,Agricultural and livestock production
23203,"Balata,gutta-percha and similar natural gums",1110,Agricultural and livestock production
23312,"Other synth.rubb.latex,whether/not prevulcanized",3513,"Manufacture of synthetic resins, plastic materials and man-made fibres except glass"
23313,Polybutadiene rubber (br),3513,"Manufacture of synthetic resins, plastic materials and man-made fibres except glass"
23314,Polychlorobutaidene rubber (cr),3513,"Manufacture of synthetic resins, plastic materials and man-made fibres except glass"
23315,Polybutadiene-styrene rubber (sbr),3513,"Manufacture of synthetic resins, plastic materials and man-made fibres except glass"
23316,Butyl rubber (iir),3513,"Manufacture of synthetic resins, plastic materials and man-made fibres except glass"
23319,Other synthetic rubbers;factice derived from oils,3513,"Manufacture of synthetic resins, plastic materials and man-made fibres except glass"
23321,Reclaimed rubber,3559,Manufacture of rubber products not elsewhere classified
23322,Waste paring scrap of unhard.rubb.fit for recovery,3559,Manufacture of rubber products not elsewhere classified
24401,"Cork,natural,unworked,crushed,granulated/ground",1210,Forestry
24402,"Cork,natural,in blocks,plates,sheets or strips",3319,Manufacture of wood and cork products not elsewhere classified
24501,"Fuel wood in logs,in billets,in twigs/in faggots",1210,Forestry
24502,Wood charcoal(incl.shell & nut char.)agglomer./not,1210,Forestry
24602,Pulpwood in chips or particles,1220,Logging
24603,Wood waste (including sawdust),1220,Logging
24711,"Sawlogs in the rough,whether/not stripped of bark",1220,Logging
24721,"Sawlogs in the rough,whether/not stripped of bark",1220,Logging
24821,"Wood of conifer.spec.sawn lengthwise,sliced/peeled",3311,"Sawmille, planing and other wood mills"
24822,"Wood of conifer.spec.,planed,tongued,grooved,etc.",3311,"Sawmille, planing and other wood mills"
24831,"Wood of non-conif.spec.sawn lengthwise,slic./peel.",3311,"Sawmille, planing and other wood mills"
24832,"Wood of non-conif.spec.planed,tongued,grooved,etc.",3311,"Sawmille, planing and other wood mills"
25171,"Chemical wood pulp,unbleached",3411,"Manufacture of pulp, paper and paperboard"
25172,"Chemical wood pulp,bleached or semi-bleached",3411,"Manufacture of pulp, paper and paperboard"
25181,"Chemical wood pulp,unbleached",3411,"Manufacture of pulp, paper and paperboard"
25182,"Chemical wood pulp,bleached or semi-bleached",3411,"Manufacture of pulp, paper and paperboard"
25191,Semi-chemical wood pulp,3411,"Manufacture of pulp, paper and paperboard"
25192,"Pulp,other than wood pulp",3411,"Manufacture of pulp, paper and paperboard"
26141,Silk worm cocoons suitable for reeling,1110,Agricultural and livestock production
26142,Silk waste(incl.cocoons unsuitable for reeling)etc,3211,"Spinning, weawing and finishing textiles"
26511,"Flax,raw or retted",1110,Agricultural and livestock production
26512,"Flax,broken,scutched,hackled but not spun",1110,Agricultural and livestock production
26513,Flax tow and waste (incl.pulled or garnetted rags),3211,"Spinning, weawing and finishing textiles"
26591,Coir and coir waste(incl.pulled or garnetted rags),1110,Agricultural and livestock production
26599,"Other veget.textile fibres,n.e.s.,raw or processed",1110,Agricultural and livestock production
26651,Synthetic fibres polyamide,3513,"Manufacture of synthetic resins, plastic materials and man-made fibres except glass"
26652,Synthetic fibres polyester,3513,"Manufacture of synthetic resins, plastic materials and man-made fibres except glass"
26653,Synthetic fibres acrylic,3513,"Manufacture of synthetic resins, plastic materials and man-made fibres except glass"
26659,"Synthetic fibres other than polyamide,polyest. etc",3513,"Manufacture of synthetic resins, plastic materials and man-made fibres except glass"
26661,Continuous filament of polyamide fibres,3513,"Manufacture of synthetic resins, plastic materials and man-made fibres except glass"
26662,Continuous filament of polyester fibres,3513,"Manufacture of synthetic resins, plastic materials and man-made fibres except glass"
26663,Continuous filament of acrylic fibres,3513,"Manufacture of synthetic resins, plastic materials and man-made fibres except glass"
26669,Continuous filament of other synthetic fibres,3513,"Manufacture of synthetic resins, plastic materials and man-made fibres except glass"
26671,Synthetic fibres polyamide,3513,"Manufacture of synthetic resins, plastic materials and man-made fibres except glass"
26672,Synthetic fibres polyester,3513,"Manufacture of synthetic resins, plastic materials and man-made fibres except glass"
26673,Synthetic fibres acrylic,3513,"Manufacture of synthetic resins, plastic materials and man-made fibres except glass"
26679,"Synthetic fibres other than polyamide,polyest. etc",3513,"Manufacture of synthetic resins, plastic materials and man-made fibres except glass"
26711,"Regenerated fibres (discontinuous),not carded etc.",3513,"Manufacture of synthetic resins, plastic materials and man-made fibres except glass"
26712,Continuous filament tow for the manuf.of reg.fib.,3513,"Manufacture of synthetic resins, plastic materials and man-made fibres except glass"
26713,"Regenerat.fibr.(discontin./waste)carded,combed etc",3211,"Spinning, weawing and finishing textiles"
26721,Waste synthetic fibres,3211,"Spinning, weawing and finishing textiles"
26722,Waste regenerated fibres,3211,"Spinning, weawing and finishing textiles"
26851,"Horsehair & waste,whether or not put up on a layer",3211,"Spinning, weawing and finishing textiles"
26859,"Other coarse animal hair,not carded or combed",3211,"Spinning, weawing and finishing textiles"
26861,Waste of sheep's/lamb's not pulled or garneted,3211,"Spinning, weawing and finishing textiles"
26862,Waste of sheep's/lamb's pulled or garnetted,3211,"Spinning, weawing and finishing textiles"
26901,"Clothing,cloth.accessories,travel.rugs & blankets",3211,"Spinning, weawing and finishing textiles"
26902,"Used or new rags,scrap twine,cordage,rope & cables",3211,"Spinning, weawing and finishing textiles"
27131,Natural calcium phosphates unground,2902,Chemical and fertilizer mineral mining
27132,Natural calcium phosphates ground,2902,Chemical and fertilizer mineral mining
27311,Slate(including slate only roughly worked),2901,"Stone quarrying, clay and sand pits"
27312,"Marble,travertine,ecaussine and other calcar.stone",2901,"Stone quarrying, clay and sand pits"
27313,"Granite,porphyry,basalt,sandstone and other stone",2901,"Stone quarrying, clay and sand pits"
27322,Limestone flux & calcar.stone used for lime/cement,2901,"Stone quarrying, clay and sand pits"
27323,Gypsum and anhydrite,2901,"Stone quarrying, clay and sand pits"
27324,Calcined gypsum and plasters with calcium sulphate,2901,"Stone quarrying, clay and sand pits"
27721,Dust & powder of natural or synth.precious stones,3699,Manufacture of non-metallic mineral products not elsewhere classified
27722,"Pumice stone;emery;natural corundum,nat.garnet etc",2909,Mining and quarrying not elsewhere classified
27821,"Clay,andalusite,kyanite,etc.whether /not clacined",2901,"Stone quarrying, clay and sand pits"
27822,"Graphite,natural",2909,Mining and quarrying not elsewhere classified
27823,"Dolomite,whether or not calcined,incl.d.not worked",2901,"Stone quarrying, clay and sand pits"
27824,"Magnesium carbonate,natur.,whether or not calcined",2901,"Stone quarrying, clay and sand pits"
27851,"Quartz,quartzite only roughly worked",2909,Mining and quarrying not elsewhere classified
27852,Mica (including splittings); mica waste,2909,Mining and quarrying not elsewhere classified
27853,"Cryolite and chiolite,natural",2909,Mining and quarrying not elsewhere classified
27854,"Felspar,leucite,nepheline and nepheline syenite",2909,Mining and quarrying not elsewhere classified
27861,"Slag,dross etc. & waste from manufac.of iron/steel",3710,Iron and steel basic industries
27862,"Slag and ash, n.e.s.(including kelp)",3710,Iron and steel basic industries
27891,Chalk,2901,"Stone quarrying, clay and sand pits"
27892,Natural barium sulphate;natural barium carbonate,2902,Chemical and fertilizer mineral mining
27893,Natural steatite(incl.nat.st.roughly work.)talc,2909,Mining and quarrying not elsewhere classified
27894,Crude natural borates and concentrates thereof,2902,Chemical and fertilizer mineral mining
27895,Siliceous fossil meals & similar siliceous earths,2909,Mining and quarrying not elsewhere classified
27896,"Bitumen and asphalt,natural;bituminous shale",2909,Mining and quarrying not elsewhere classified
27899,Mineral substances n.e.s.,2902,Chemical and fertilizer mineral mining
28201,Waste of pig or cast iron,9999,Goods not elsewhere classified
28202,Waste of alloy steel,9999,Goods not elsewhere classified
28209,Waste of other iron or steel,9999,Goods not elsewhere classified
28711,Copper ores and concentrates,2302,Non-ferrous metal ore mining
28712,Copper matte;cement copper (precipitated copper),3720,Non-ferrous metal basic industries
28721,Nickel ores and concentrates,2302,Non-ferrous metal ore mining
28722,"Nickel mattes,sinters & other intermediat.products",3720,Non-ferrous metal basic industries
28731,Aluminium ores and concentrates,2302,Non-ferrous metal ore mining
28732,Alumina (aluminium oxide),3511,Manufacture of basic industrial chemicals except fertilizer
28791,Chromium ores and concentrates,2302,Non-ferrous metal ore mining
28792,Tungsten (or wolfram) ores and concentrates,2302,Non-ferrous metal ore mining
28793,"Ores & concentr.of molybdenum,niobium,tantalum etc",2302,Non-ferrous metal ore mining
28799,"Other base metal ores and concentrates,n.e.s.",2302,Non-ferrous metal ore mining
28821,Copper waste and scrap,3720,Non-ferrous metal basic industries
28822,Nickel waste and scrap,3720,Non-ferrous metal basic industries
28823,Aluminium waste and scrap,3720,Non-ferrous metal basic industries
28824,Lead waste and scrap,3720,Non-ferrous metal basic industries
28825,Zinc waste and scrap (other than dust),3720,Non-ferrous metal basic industries
28826,Tin waste and scrap,3720,Non-ferrous metal basic industries
28901,Ores and concentrates of precious metals,2302,Non-ferrous metal ore mining
28902,"Gold-silversmiths and jewellers sweepings,ex.gold",3901,Manufacture of jewellery and related articles
29111,"Bones (incl.of whales,seals etc)unworked,defatted",3111,"Slaughtering, preparing and preserving meat"
29115,"Coral & similar substances,unworked/simply prepar.",1302,Fishing not elsewhere classified
29116,"Ivory,tortoise-shell,horns,antlers,hooves, etc.",3111,"Slaughtering, preparing and preserving meat"
29191,"Human hair,unworked,wheter or not washed/scoured",9999,Goods not elsewhere classified
29192,"Pigs,hogs,and boars bristels or hair;waste",3111,"Slaughtering, preparing and preserving meat"
29193,"Guts,bladders and stomachs of animals (no fish)",3111,"Slaughtering, preparing and preserving meat"
29194,Fish waste,3114,"Canning, preserving and processing of fish, crustacea and similar foods"
29196,"Skins and other parts of birds,with their feathers",1110,Agricultural and livestock production
29197,Natural sponges,1301,Ocean and coastal fishing
29198,"Ambergris,castoreum etc;for pharmaceutic.products",1130,"Hunting, trapping and game propagation"
29199,Animal prod.nes;dead ani.unfit for human consumpt.,3111,"Slaughtering, preparing and preserving meat"
29261,"Bulbs,tubers,tuberous roots,corms,crowns in growth",1110,Agricultural and livestock production
29269,"Other live plants (includ.trees,shrubs,bushes etc)",1110,Agricultural and livestock production
29271,Cut flowers & buds for bouquets/ornamental purpos.,1110,Agricultural and livestock production
29272,"Foliage,branch.& other parts,fresh,dried,dyed etc.",1110,Agricultural and livestock production
29291,Vegetable saps and extracts; pectic substances,1210,Forestry
29292,"Veget.materials,whether or not put up on a layer",3219,Manufacture of textiles not elsewhere classified
29293,Veg.materials of a kind used in brushes or brooms,1110,Agricultural and livestock production
29298,Vegetable materials and vegetable products n.e.s.,1210,Forestry
32311,Briquet.ovoids & sim.solid fuels manufac.from coal,2100,Coal mining
32312,Lignite agglomerated,2100,Coal mining
32321,"Coke & semi-coke of coal,whether/not agglomerated",3540,Manufacture of miscellaneous products of petroleum and coal
33452,Lubricating preparations,3530,Petroleum refineries
33511,Petroleum jelly (petrolatum),3530,Petroleum refineries
33512,"Paraffin wax,micro-crystalline wax,slack wax,etc.",3530,Petroleum refineries
33521,"Tar distilled from coal,from lignite or from peat",3530,Petroleum refineries
33522,Benzole,3530,Petroleum refineries
33523,Toluole,3530,Petroleum refineries
33524,Xylole,3530,Petroleum refineries
33525,"Oils and other products,n.e.s.of dist.of coal tar",3530,Petroleum refineries
33531,Pitch obtain.from coal tar/from other mineral tars,3530,Petroleum refineries
33532,Pitch coke,3540,Manufacture of miscellaneous products of petroleum and coal
33541,Petroleum bitumen & other residues of petrol.oils,3530,Petroleum refineries
33542,Petroleum coke,3530,Petroleum refineries
33543,Bituminous mixtures based on natural asphalt,3530,Petroleum refineries
34131,Liquefied propane and butane,2200,Crude Petroleum and Natural Gas Production
34139,"Liquefied gaseous hydrocarbons,n.e.s.",2200,Crude Petroleum and Natural Gas Production
41111,Fish liver oil,3114,"Canning, preserving and processing of fish, crustacea and similar foods"
41112,Fish oils and fats (other than fish liver oil),3114,"Canning, preserving and processing of fish, crustacea and similar foods"
41113,Oils and fats of marine mammals,3114,"Canning, preserving and processing of fish, crustacea and similar foods"
41131,"Pig fat free of lean meat and poultry fat,",3111,"Slaughtering, preparing and preserving meat"
41132,"Fats of bovine cattle,sheep or goats,premier jus",3111,"Slaughtering, preparing and preserving meat"
41133,"Lard stearin,oleostearin & tallow stearin;lard oil",3111,"Slaughtering, preparing and preserving meat"
41134,Wool grease and fatty substances derived therefrom,3111,"Slaughtering, preparing and preserving meat"
41139,"Animal oils & fats,nes:oil & fats from bones/waste",3111,"Slaughtering, preparing and preserving meat"
42391,"Rape,colza and mustard oils",3115,Manufacture of vegetable and animal oils and fats
42392,Sesame (sesamum)oil,3115,Manufacture of vegetable and animal oils and fats
43131,Fatty acids;acid oils from refining,3115,Manufacture of vegetable and animal oils and fats
43133,Residues resulting from treatment fatty substances,3115,Manufacture of vegetable and animal oils and fats
43143,"Vegetable waxes,whether or not coloured",3115,Manufacture of vegetable and animal oils and fats
43144,"Spermaceti,crude pressed or refined",3115,Manufacture of vegetable and animal oils and fats
51111,Ethylene,3511,Manufacture of basic industrial chemicals except fertilizer
51112,Propylene,3511,Manufacture of basic industrial chemicals except fertilizer
51113,"Butylenes,butadienes and methylbutadienes",3511,Manufacture of basic industrial chemicals except fertilizer
51119,Other acyclic hydrocarbons,3511,Manufacture of basic industrial chemicals except fertilizer
51121,Cyclohexane,3511,Manufacture of basic industrial chemicals except fertilizer
51122,"Benzene,chemically or commercially pure",3511,Manufacture of basic industrial chemicals except fertilizer
51123,"Toluene,chemically or commercially pure",3511,Manufacture of basic industrial chemicals except fertilizer
51124,"Xylenes,chemically or commercially pure",3511,Manufacture of basic industrial chemicals except fertilizer
51125,Styrene,3511,Manufacture of basic industrial chemicals except fertilizer
51126,Ethylbenzene,3511,Manufacture of basic industrial chemicals except fertilizer
51129,Other cyclic hydrocarbons,3511,Manufacture of basic industrial chemicals except fertilizer
51131,Vinyl chloride (chloroethylene),3511,Manufacture of basic industrial chemicals except fertilizer
51132,Trichloroethylene,3511,Manufacture of basic industrial chemicals except fertilizer
51133,Tetrachloroethylene,3511,Manufacture of basic industrial chemicals except fertilizer
51139,Other halogenated derivatives of hydrocarbons,3511,Manufacture of basic industrial chemicals except fertilizer
51211,Methyl alcohol (methanol),3511,Manufacture of basic industrial chemicals except fertilizer
51212,Propyl and isopropyl alcohols (propanols),3511,Manufacture of basic industrial chemicals except fertilizer
51213,Butyl alcohols (butanols),3511,Manufacture of basic industrial chemicals except fertilizer
51214,Octyl alcohols (octanols),3511,Manufacture of basic industrial chemicals except fertilizer
51215,Ethylene glycol (ethanediol),3511,Manufacture of basic industrial chemicals except fertilizer
51216,Ethyl alcohol (ethanol)or neutral spirits,3511,Manufacture of basic industrial chemicals except fertilizer
51217,Fatty alcohols,3511,Manufacture of basic industrial chemicals except fertilizer
51218,Glycerol (glycerin) and glycerol lyes,3523,"Manufacture of soap and cleaning preparations, perfumes, cosmetics and other toilet preparations"
51219,Other acyclic alcohols & halogenated derivatives,3511,Manufacture of basic industrial chemicals except fertilizer
51234,"Phenol(hydroxybenzene),chemically pure,& its salts",3511,Manufacture of basic industrial chemicals except fertilizer
51235,"Cresols,n.e.s,and their salts",3511,Manufacture of basic industrial chemicals except fertilizer
51236,Other phenols and phenol-alcohols,3511,Manufacture of basic industrial chemicals except fertilizer
51237,"Halogenated,sulphonated,etc.derivatives of phenol",3511,Manufacture of basic industrial chemicals except fertilizer
51371,Acetic acid and its salts,3511,Manufacture of basic industrial chemicals except fertilizer
51372,Esters of acetic acid,3511,Manufacture of basic industrial chemicals except fertilizer
51373,Methacrylic acid and its salts and esters,3511,Manufacture of basic industrial chemicals except fertilizer
51379,"Other monocarboxylic acids,& anhydrides,etc.",3511,Manufacture of basic industrial chemicals except fertilizer
51381,Maleic anhydride,3511,Manufacture of basic industrial chemicals except fertilizer
51382,Phthalic anhydride,3511,Manufacture of basic industrial chemicals except fertilizer
51383,Dioctyl orthophthalates,3511,Manufacture of basic industrial chemicals except fertilizer
51384,Esters of terephthalic acid,3511,Manufacture of basic industrial chemicals except fertilizer
51389,"Polycarboxylic acids and anhydrides,halides,etc.",3511,Manufacture of basic industrial chemicals except fertilizer
51481,"Quaternary ammonium salts and hydroxides,lecithin",3511,Manufacture of basic industrial chemicals except fertilizer
