"ISIC3","partialISIC3","ISIC2","partialISIC2","Detail"
"5131",0,"6100",1,"Wholesale of textiles, clothing and footwear"
"5139",0,"6100",1,"Wholesale of other household goods"
"5141",0,"6100",1,"Wholesale of solid, liquid and gaseous fuels and related products"
"5142",0,"6100",1,"Wholesale of metals and metal ores"
"5143",0,"6100",1,"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies"
"5149",0,"6100",1,"Wholesale of other intermediate products, waste and scrap"
"5150",0,"6100",1,"Wholesale of machinery, equipment and supplies"
"5190",0,"6100",1,"Other wholesale"
"5211",0,"6200",1,"Retail sale in non-specialized stores with food, beverages or tobacco predominating"
"5219",0,"6200",1,"Other retail sale in non-specialized stores"
"5220",0,"6200",1,"Retail sale of food, beverages and tobacco in specialized stores"
"5231",0,"6200",1,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles"
"5232",0,"6200",1,"Retail sale of textiles, clothing, footwear and leather goods"
"5233",0,"6200",1,"Retail sale of household appliances, articles and equipment"
"5234",0,"6200",1,"Retail sale of hardware, paints and glass"
"5239",1,"3699",1,"Retail sale of tombstones and monuments (already engraved)"
"5239",1,"6200",1,"Other retail sale in specialized stores"
"5240",0,"6200",1,"Retail sale of second-hand goods in stores"
"5251",0,"6200",1,"Retail sale via mail order houses"
"5252",0,"6200",1,"Retail sale via stalls and markets"
"5259",0,"6200",1,"Other non-store retail sale"
"5260",1,"9511",0,"Repair of personal and household goods"
"5260",1,"9512",1,"Electrical repair"
"5260",1,"9514",0,"Watch, clock and jewellery repair"
"5260",1,"9519",1,"Other repair n.e.c."
"5260",1,"9520",1,"Alteration and repair of made-up personal and household textiles"
"5510",1,"6320",0,"Hotels, rooming houses, camps and other lodging places"
"5510",1,"7111",1,"Sleeping car operation (carried on separately)"
"5520",1,"6310",0,"Restaurants, cafes and other eating and drinking places"
"5520",1,"7111",1,"Dining car operation (carried on separately)"
"6010",0,"7111",1,"Transport via railways"
"6021",1,"7111",1,"Urban and suburban railway transport"
"6021",1,"7112",1,"Scheduled highway passenger transport"
"6021",1,"7113",1,"Other scheduled passenger land transport"
"6021",1,"9490",1,"Operation of aerial tramways and cablecars"
"6022",0,"7113",1,"Other non-scheduled passenger land transport"
"6023",0,"7114",1,"Freight transport by road"
"6030",0,"7115",1,"Transport via pipelines"
"6110",0,"7121",0,"Sea and coastal water transport"
"6120",0,"7122",1,"Inland water transport"
"6210",0,"7131",1,"Scheduled air transport"
"6220",0,"7131",1,"Non-scheduled air transport"
"6301",1,"7116",1,"Cargo handling for land transport"
"6301",1,"7123",1,"Cargo handling for water transport"
"6301",1,"7132",1,"Cargo handling for air transport"
"6302",1,"7115",1,"Storage of natural gas"
"6302",1,"7192",0,"Storage and warehousing"
"6303",1,"7111",1,"Terminals and other railway transport supporting service activities, except switching"
"6303",1,"7112",1,"Terminals; maintenance facilities for road vehicles"
"6303",1,"7114",1,"Terminals for freight transport by road"
"6303",1,"7116",1,"Other supporting transport activities for land transport n.e.c."
"6303",1,"7122",1,"Other supporting activities for inland water transport"
"6303",1,"7123",1,"Other supporting activities for water transport"
"6303",1,"7132",1,"Other supporting activities for air transport"
"6303",1,"7191",1,"Other supporting transport activities, except steamship agencies"
"6303",1,"9490",1,"Operation of pleasure-boat docking facilities"
"6304",1,"7191",1,"Activities of travel agencies and tour operators"
"6304",1,"9599",1,"Tourist assistance activities n.e.c."
"6309",1,"7123",1,"Activities of steamship agencies"
"6309",1,"7191",1,"Activities of other transport agencies"
"6411",0,"7200",1,"National post activities"
"6412",1,"7114",1,"Courier activities other than national post activities, by road"
"6412",1,"7131",1,"Courier activities other than national post activities, by air"
"6412",1,"7191",1,"Courier activities, with public transport"
"6420",1,"7132",1,"Radio beacon and radar station operation"
"6420",1,"7200",1,"Other telecommunications n.e.c."
"6420",1,"9413",1,"Radio and television programme transmission, on a fee or contract basis"
"6511",0,"8101",1,"Central banking"
"6519",1,"8101",1,"Monetary intermediation of commercial and other banks"
"6519",1,"8102",1,"Monetary intermediation of commercial and other banks"
"6591",0,"8102",1,"Financial leasing"
"6592",0,"8102",1,"Other credit granting"
"6599",1,"8102",1,"Financial intermediation by credit institutions other than banks n.e.c."
"6599",1,"8103",1,"Distributing funds other than by making loans"
"6601",1,"8102",1,"Investment of life insurance funds"
"6601",1,"8200",1,"Life insurance"
"6602",1,"8102",1,"Investment of pension funds"
"6602",1,"8200",1,"Pension funding"
"6603",0,"8200",1,"Non-life insurance"
"6711",0,"8103",1,"Administration of financial markets"
"6712",0,"8102",1,"Security dealing activities"
"6719",1,"8102",1,"Activities auxiliary to financial intermediation n.e.c."
"6719",1,"8103",1,"Activities auxiliary to financial intermediation n.e.c."
"6720",0,"8200",1,"Activities auxiliary to insurance and pension funding"
"7010",0,"8310",1,"Real estate activities with own or leased property"
"7020",0,"8310",1,"Real estate activities on a fee or contract basis"
"7111",1,"7116",1,"Renting (without operator) of land transport equipment"
"7111",1,"9490",1,"Renting of motorcycles"
"7112",0,"7123",1,"Renting of water transport equipment (without operator)"
"7113",0,"7132",1,"Renting of air transport equipment (without operator)"
"7121",0,"8330",1,"Renting of agricultural machinery and equipment"
"7122",0,"8330",1,"Renting of construction and civil engineering machinery and equipment"
"7123",0,"8330",1,"Renting of office machinery and and equipment (including computers)"
"7129",0,"8330",1,"Renting of other machinery and equipment n.e.c."
"7130",1,"6200",1,"Renting of goods to the general public for personal or household use"
"7130",1,"8330",1,"Renting of office furniture"
"7130",1,"9412",1,"Renting of video tapes"
"7130",1,"9414",1,"Renting of theatrical equipment"
"7130",1,"9490",1,"Renting of recreational goods n.e.c. (e.g. bicycles, saddle-horses, pleasure craft, sports equipment)"
"7210",0,"8323",1,"Hardware consultancy"
"7220",0,"8323",1,"Software consultancy and supply"
"7230",0,"8323",1,"Data processing"
"7240",0,"8323",1,"Data base activities"
"7250",1,"3825",1,"Repair of office, computing and accounting machinery"
"7250",1,"9519",1,"Repair of typewriters"
"7290",0,"8323",1,"Other computer related activities"
"7310",1,"8324",1,"Research and experimental development on natural sciences and engineering"
"7310",1,"9320",1,"Basic and general research in the biological, medical and physical sciences"
"7320",1,"8329",1,"Economic research, non commercial"
"7320",1,"9320",1,"Archeological expeditions, research and experimental development on social sciences and humanities"
"7411",1,"8310",1,"Land and title search services"
"7411",1,"8321",0,"Legal activities"
"7412",0,"8322",0,"Accounting, book-keeping and auditing activities; tax consultancy"
"7413",0,"8325",1,"Market research and public opinion polling"
"7414",1,"1120",1,"Farm management activities"
"7414",1,"8102",1,"Activities of holding management companies"
"7414",1,"8329",1,"Business and management consultancy n.e.c."
"7421",1,"5000",1,"Project management activities for construction"
"7421",1,"8324",1,"Architectural and engineering activities and related technical consultancy"
"7422",1,"5000",1,"Testing and building inspection services"
"7422",1,"8324",1,"Technical testing and analysis"
"7422",1,"9320",1,"Activities of home economists"
"7430",1,"8325",1,"Advertising n.e.c."
"7430",1,"8329",1,"Publishers representatives"
"7491",0,"8329",1,"Labour recruitment and provision of personnel other than farm labour contractors"
"7492",0,"8329",1,"Investigation and security activities"
"7493",1,"5000",1,"Cleaning of buildings after construction"
"7493",1,"9200",1,"Building-cleaning activities"
"7493",1,"9520",1,"Vacuum cleaning services"
"7493",1,"9599",1,"Janitorial activities"
"7494",0,"9592",0,"Photographic activities"
"7495",0,"8329",1,"Packaging activities"
"7499",1,"6100",1,"Auctioning service, wholesale, except motor vehicles"
"7499",1,"6200",1,"Auctioning service, retail"
"7499",1,"7200",1,"Telephone answering activities"
"7499",1,"8325",1,"Mail advertising"
"7499",1,"8329",1,"Bill collecting, credit rating, direct mailing, photocopying and duplicating and other business activities n.e.c."
"7499",1,"9414",1,"Agency activities for engagements in entertainment or sport attractions"
"7511",0,"9100",1,"General (Over-all) public service activities"
"7512",0,"9100",1,"Regulation of the activities of agencies that provide health care, education, cultural services and other social services, excluding social security"
"7513",0,"9100",1,"Regulation of and contribution to more efficient operation of business"
"7514",0,"9100",1,"Ancillary service activities for the Government as a whole"
"7521",0,"9100",1,"Foreign affairs"
"7522",0,"9100",1,"Defence activities"
"7523",0,"9100",1,"Public order and safety activities"
"7530",0,"9100",1,"Compulsory social security activities"
"8010",0,"9310",1,"Primary education"
"8021",0,"9310",1,"General secondary education"
"8022",0,"9310",1,"Technical and vocational secondary education"
"8030",0,"9310",1,"Higher education"
"8090",1,"9310",1,"Adult and other vocational education n.e.c."
"8090",1,"9591",1,"Activities of barber and beauty schools"
"8511",0,"9331",1,"Hospital activities"
"8512",0,"9331",1,"Medical and dental practice activities"
"8519",0,"9331",1,"Other human health activities"
"8520",0,"9332",1,"Veterinary activities"
"8531",0,"9340",1,"Social work with accommodation"
"8532",1,"9310",1,"Job training and vocational rehabilitation"
"8532",1,"9331",1,"Health-related social welfare services, e.g. drug treatment and family planning services"
"8532",1,"9340",1,"Social work without accommodation"
"9000",0,"9200",1,"Sewage and refuse disposal, sanitation and similar activities"
"9111",0,"9350",1,"Activities of business and employers' organizations"
"9112",0,"9350",1,"Activities of professional organizations"
"9120",0,"9350",1,"Activities of trade unions"
"9191",0,"9391",1,"Activities of religious organizations"
"9192",0,"9399",1,"Activities of political organizations"
"9199",0,"9399",1,"Activities of other membership organizations n.e.c."
"9211",1,"9411",1,"Motion picture and video production"
"9211",1,"9412",1,"Motion picture and video distribution"
"9212",0,"9412",1,"Motion picture projection"
"9213",0,"9413",1,"Production of radio and television programmes, whether or not combined with broadcasting"
"9214",1,"9414",1,"Production of theatrical presentations"
"9214",1,"9415",0,"Activities by authors, music composers, and other independent artists n.e.c."
"9214",1,"9490",1,"Entertainment, live or with pre-recorded segments, set up for single or multiple performances, not at a fixed location"
"9219",1,"8329",1,"Operation of agricultural fairs"
"9219",1,"9310",1,"Dance instruction"
"9219",1,"9414",1,"Other entertainment activities n.e.c."
"9219",1,"9490",1,"Operation of ballrooms, discotheques, amusement parks and similar attractions"
"9220",0,"8329",1,"News agency activities"
"9231",1,"9391",1,"Operation of sectarian reading rooms"
"9231",1,"9420",1,"Library and archives activities"
"9232",0,"9420",1,"Museums activities and preservation of historical sites and buildings"
"9233",0,"9420",1,"Botanical and zoological gardens and nature reserves activities"
"9241",0,"9490",1,"Sporting activities"
"9249",1,"9411",1,"Casting activities, motion pictures"
"9249",1,"9414",1,"Recording or taping of sound"
"9249",1,"9414",1,"Casting or booking agencyactivities"
"9249",1,"9490",1,"Other amusement and recreational service activities n.e.c."
"9301",0,"9520",1,"Washing and (dry-) cleaning of textile and fur products"
"9302",0,"9591",1,"Hairdressing and other beauty treatment"
"9303",0,"9599",1,"Funeral and related activities"
"9309",1,"8329",1,"Issuing license plates by private contractors"
"9309",1,"9599",1,"Other personal service activities n.e.c."
"9500",0,"9530",0,"Private households with employed persons"
"9900",0,"9600",0,"Extra-territorial organizations and bodies"
